Area Code,Area Name,Persons-1801,Persons-1811,Persons-1821,Persons-1831,Persons-1841,Persons-1851,Persons-1861,Persons-1871,Persons-1881,Persons-1891,Persons-1901,Persons-1911,Persons-1921,Persons-1931,Persons-1939,Persons-1951,Persons-1961,Persons-1971,Persons-1981,Persons-1991,Persons-2001,Persons-2011
E09000001,City of London,129000,121000,125000,123000,124000,128000,112000,75000,51000,38000,27000,20000,14000,11000,9000,5000,4767,4000,5864,4230,7181,7375
E09000002,Barking and Dagenham,3000,4000,5000,6000,7000,8000,8000,10000,13000,19000,27000,39000,44000,138000,184000,189000,177092,161000,149786,140728,163944,185911
E09000003,Barnet,8000,9000,11000,13000,14000,15000,20000,29000,41000,58000,76000,118000,147000,231000,296000,320000,318373,307000,293436,284106,314565,356386
E09000004,Bexley,5000,6000,7000,9000,11000,12000,15000,22000,29000,37000,54000,60000,76000,95000,179000,205000,209893,217000,215233,211404,218301,231997
E09000005,Brent,2000,2000,3000,3000,5000,5000,6000,19000,31000,65000,120000,166000,184000,251000,310000,311000,295893,281000,253275,227903,263466,311215
E09000006,Bromley,8000,9000,11000,12000,14000,16000,22000,42000,62000,83000,100000,116000,127000,165000,237000,268000,294440,305000,296539,282920,295535,309392
E09000007,Camden,100000,128000,163000,199000,229000,270000,307000,342000,357000,370000,377000,353000,341000,326000,301000,258000,245707,207000,172014,165274,198022,220338
E09000008,Croydon,8000,10000,12000,15000,20000,23000,33000,60000,85000,110000,143000,190000,213000,271000,297000,310000,327427,334000,317980,301904,330584,363378
E09000009,Ealing,7000,8000,9000,11000,13000,14000,20000,31000,47000,63000,95000,165000,181000,226000,285000,311000,301646,301000,279846,264867,300943,338449
E09000010,Enfield,11000,13000,16000,17000,18000,19000,23000,30000,42000,68000,105000,155000,167000,201000,272000,288000,273857,268000,258770,250750,273565,312466
E09000011,Greenwich,35000,46000,50000,56000,70000,90000,125000,123000,139000,175000,210000,213000,237000,244000,243000,236000,229810,218000,211840,201545,214402,254557
E09000012,Hackney,50000,64000,80000,105000,128000,170000,218000,261000,329000,372000,389000,385000,379000,364000,332000,265000,257522,220000,180434,162772,202825,246270
E09000013,Hammersmith and Fulham,10000,13000,15000,18000,23000,30000,40000,66000,115000,189000,250000,275000,288000,286000,259000,241000,222124,187000,148447,137720,165238,182493
E09000014,Haringey,6000,7000,9000,10000,13000,14000,21000,37000,73000,142000,209000,271000,285000,307000,292000,277000,259156,240000,203553,186490,216505,254926
E09000015,Harrow,4000,5000,5000,7000,7000,8000,9000,11000,13000,15000,24000,42000,49000,97000,190000,219000,209080,203000,196571,194893,206822,239056
E09000016,Havering,6000,7000,8000,9000,11000,11000,12000,15000,16000,20000,26000,33000,38000,77000,139000,192000,245598,248000,240849,225144,224262,237232
E09000017,Hillingdon,9000,11000,12000,14000,17000,18000,20000,21000,23000,25000,29000,38000,48000,84000,159000,210000,228370,235000,229913,228476,243006,273936
E09000018,Hounslow,14000,16000,19000,22000,25000,27000,32000,41000,55000,68000,85000,109000,117000,156000,196000,211000,208893,207000,200829,196602,212352,253957
E09000019,Islington,65000,83000,108000,137000,168000,220000,283000,337000,401000,429000,436000,415000,407000,392000,343000,271000,261232,202000,160890,154873,175789,206125
E09000020,Kensington and Chelsea,18000,25000,35000,46000,58000,88000,120000,177000,234000,243000,250000,239000,240000,240000,228000,219000,218528,188000,138837,126285,158921,158649
E09000021,Kingston upon Thames,5000,5000,6000,8000,10000,12000,18000,27000,36000,45000,56000,68000,74000,93000,129000,147000,146010,141000,132957,131436,147271,160060
E09000022,Lambeth,33000,49000,67000,99000,129000,155000,182000,236000,293000,333000,384000,408000,419000,421000,391000,347000,341626,308000,246426,220252,266170,303086
E09000023,Lewisham,16000,20000,24000,26000,34000,44000,67000,101000,145000,191000,238000,270000,287000,327000,325000,303000,290582,268000,231324,215483,248917,275885
E09000024,Merton,5000,6000,7000,7000,8000,8000,11000,17000,28000,41000,62000,99000,114000,158000,197000,200000,189013,177000,166100,162741,187919,199693
E09000025,Newham,8000,10000,12000,14000,15000,22000,43000,70000,142000,240000,366000,427000,448000,440000,381000,294000,265388,237000,209494,200678,243884,307984
E09000026,Redbridge,4000,5000,6000,7000,7000,7000,9000,12000,18000,31000,66000,113000,124000,179000,232000,257000,250080,240000,226280,221107,238623,278970
E09000027,Richmond upon Thames,15000,17000,20000,22000,25000,28000,34000,48000,61000,77000,95000,124000,141000,161000,178000,188000,181052,175000,159693,155698,172330,186990
E09000028,Southwark,116000,139000,175000,207000,243000,292000,346000,407000,514000,572000,596000,579000,571000,535000,456000,338000,313413,262000,211858,198916,244867,288283
E09000029,Sutton,5000,5000,6000,7000,8000,8000,11000,16000,24000,30000,38000,54000,60000,103000,167000,176000,169095,169000,169343,164868,179767,190146
E09000030,Tower Hamlets,144000,180000,219000,263000,310000,377000,442000,512000,566000,581000,597000,570000,529000,489000,419000,231000,205682,166000,142841,153255,196083,254096
E09000031,Waltham Forest,8000,9000,11000,11000,12000,13000,17000,28000,54000,112000,198000,258000,267000,283000,286000,275000,248591,235000,215947,203343,218335,258249
E09000032,Wandsworth,13000,16000,19000,23000,28000,36000,52000,99000,173000,251000,319000,369000,380000,388000,358000,331000,335451,302000,254898,239162,260379,306995
E09000033,Westminster,231000,254000,298000,354000,402000,462000,512000,524000,513000,481000,460000,421000,390000,372000,347000,300000,271703,240000,191098,177743,181284,219396